Episode ID	Episode Title	Show Title	Show ID	
tt4897130	We All Fall Down	Fear the Walking Dead	tt3743822	
tt5218334	Ouroboros	Fear the Walking Dead	tt3743822	
tt5218358	Blood in the Streets	Fear the Walking Dead	tt3743822	
tt5218374	Captive	Fear the Walking Dead	tt3743822	
tt5218388	Sicut Cervus	Fear the Walking Dead	tt3743822	
tt5218406	Shiva	Fear the Walking Dead	tt3743822	
tt5218418	Grotesque	Fear the Walking Dead	tt3743822	
tt5218430	Los Muertos	Fear the Walking Dead	tt3743822	
tt5218442	Do Not Disturb	Fear the Walking Dead	tt3743822	
tt5218450	Pablo & Jessica	Fear the Walking Dead	tt3743822	
tt5218460	Episode #2.12	Fear the Walking Dead	tt3743822	
tt5218470	Episode #2.13	Fear the Walking Dead	tt3743822	
tt5218476	Episode #2.14	Fear the Walking Dead	tt3743822	
tt4959800	Episode #2.15	Fear the Walking Dead	tt3743822	
tt5646582	Episode #3.1	Fear the Walking Dead	tt3743822	
tt5855992	Episode #3.15	Fear the Walking Dead	tt3743822	
tt1589573	Pilot	Shameless	tt1586680	
tt1717968	Frank the Plank	Shameless	tt1586680	
tt1732475	Aunt Ginger	Shameless	tt1586680	
tt1733025	Casey Casden	Shameless	tt1586680	
tt1744244	Three Boys	Shameless	tt1586680	
tt1751740	Killer Carl	Shameless	tt1586680	
tt1814411	Frank Gallagher: Loving Husband, Devoted Father	Shameless	tt1586680	
tt1812446	It's Time to Kill the Turtle	Shameless	tt1586680	
tt1812447	But at Last Came a Knock	Shameless	tt1586680	
tt1814409	Nana Gallagher Had an Affair	Shameless	tt1586680	
tt1814410	Daddyz Girl	Shameless	tt1586680	
tt1812445	Father Frank, Full of Grace	Shameless	tt1586680	
tt1988453	Summertime	Shameless	tt1586680	
tt2004908	Summer Loving	Shameless	tt1586680	
tt2108266	I'll Light a Candle for You Every Day	Shameless	tt1586680	
tt2108267	A Beautiful Mess	Shameless	tt1586680	
tt2108268	Father's Day	Shameless	tt1586680	
tt2048583	Can I Have a Mother	Shameless	tt1586680	
tt2064556	A Bottle of Jean Nate	Shameless	tt1586680	
tt2105878	Parenthood	Shameless	tt1586680	
tt2080942	Hurricane Monica	Shameless	tt1586680	
tt2093744	A Great Cause	Shameless	tt1586680	
tt2091073	Just Like the Pilgrims Intended	Shameless	tt1586680	
tt2104602	Fiona Interrupted	Shameless	tt1586680	
tt2316912	El Gran Cañon	Shameless	tt1586680	
tt2316918	The American Dream	Shameless	tt1586680	
tt2316924	May I Trim Your Hedges?	Shameless	tt1586680	
tt2316926	The Helpful Gallaghers	Shameless	tt1586680	
tt2316928	The Sins of My Caretaker	Shameless	tt1586680	
tt2386512	Cascading Failures	Shameless	tt1586680	
tt2666306	A Long Way from Home	Shameless	tt1586680	
tt2666310	Where There's a Will	Shameless	tt1586680	
tt2666316	Frank the Plumber	Shameless	tt1586680	
tt2666312	Civil Wrongs	Shameless	tt1586680	
tt2666314	Order Room Service	Shameless	tt1586680	
tt2747042	Survival of the Fittest	Shameless	tt1586680	
tt2785156	Simple Pleasures	Shameless	tt1586680	
tt3391660	My Oldest Daughter	Shameless	tt1586680	
tt3380306	Like Father, Like Daughter	Shameless	tt1586680	
tt3332046	Strangers on a Train	Shameless	tt1586680	
tt3437538	There's the Rub	Shameless	tt1586680	
tt3437540	Iron City	Shameless	tt1586680	
tt3391558	A Jailbird, Invalid, Martyr, Cutter, Retard, and Parasitic Twin	Shameless	tt1586680	
tt3507312	Hope Springs Paternal	Shameless	tt1586680	
tt3478768	The Legend of Bonnie and Carl	Shameless	tt1586680	
tt3507322	Liver, I Hardly Know Her	Shameless	tt1586680	
tt3507316	Emily	Shameless	tt1586680	
tt3570280	Lazarus	Shameless	tt1586680	
tt3547068	Milk of the Gods	Shameless	tt1586680	
tt3858936	I'm the Liver	Shameless	tt1586680	
tt3858934	The Two Lisas	Shameless	tt1586680	
tt3878444	A Night to Remem-- Wait, What?	Shameless	tt1586680	
tt3904378	Rite of Passage	Shameless	tt1586680	
tt3953104	Crazy Love	Shameless	tt1586680	
tt3979142	Tell Me You F**King Need Me	Shameless	tt1586680	
tt4056348	Uncle Carl	Shameless	tt1586680	
tt4080744	Carl's First Sentencing	Shameless	tt1586680	
tt4079958	South Side Rules	Shameless	tt1586680	
tt4112036	Drugs Actually	Shameless	tt1586680	
tt3902188	Love Songs (In the Key of Gallagher)	Shameless	tt1586680	
tt4368544	I Only Miss Her When I'm Breathing	Shameless	tt1586680	
tt4815168	#AbortionRules	Shameless	tt1586680	
tt4881556	The F Word	Shameless	tt1586680	
tt4850056	Going Once, Going Twice	Shameless	tt1586680	
tt5037490	Refugees	Shameless	tt1586680	
tt5056040	NSFW	Shameless	tt1586680	
tt5090596	Pimp's Paradise	Shameless	tt1586680	
tt5152654	Be a Good Boy. Come for Grandma	Shameless	tt1586680	
tt5159602	A Yurt of One's Own	Shameless	tt1586680	
tt5205752	Paradise Lost	Shameless	tt1586680	
tt5208858	Sleep No More	Shameless	tt1586680	
tt4393194	Familia Supra Gallegorious Omnia!	Shameless	tt1586680	
tt5338242	Hiraeth	Shameless	tt1586680	
tt5521840	Episode #7.2	Shameless	tt1586680	
tt5585914	Episode #7.3	Shameless	tt1586680	
tt5602264	I Am A Storm	Shameless	tt1586680	
tt5638836	Episode #7.5	Shameless	tt1586680	
tt5678448	Episode #7.6	Shameless	tt1586680	
tt5688526	Episode #7.7	Shameless	tt1586680	
tt5745128	Episode #7.8	Shameless	tt1586680	
tt5745132	Episode #7.9	Shameless	tt1586680	
